recordingId,recordingTitle,songId,albumId,discNumber,trackNumber,versionType,artistsJson,notes
940a2ac0-be80-4b48-a6cc-d1ac04a7d448,"I Can Do It With a Broken Heart","SONG_I_CAN_DO_IT_WITH_BROKEN_HEART","ALBUM_TTPD",1,13,"Original","[{""artistId"": ""ARTIST_TS"", ""artistName"": ""Taylor Swift"", ""role"": ""Primary""}]",
ff7194ba-c5d3-4ce4-b231-bd90f7e9d187,"The Smallest Man Who Ever Lived","SONG_THE_SMALLEST_MAN","ALBUM_TTPD",1,14,"Original","[{""artistId"": ""ARTIST_TS"", ""artistName"": ""Taylor Swift"", ""role"": ""Primary""}]",
69a95746-70cc-44b0-a72b-1e6ac59f16a1,"The Alchemy","SONG_THE_ALCHEMY","ALBUM_TTPD",1,15,"Original","[{""artistId"": ""ARTIST_TS"", ""artistName"": ""Taylor Swift"", ""role"": ""Primary""}]",
1856e61e-2dde-4b5b-b596-5cb69fe0e211,"Clara Bow","SONG_CLARA_BOW","ALBUM_TTPD",1,16,"Original","[{""artistId"": ""ARTIST_TS"", ""artistName"": ""Taylor Swift"", ""role"": ""Primary""}]",
d0b283c4-93fc-42f1-8505-7937f0b80844,"The Manuscript","SONG_THE_MANUSCRIPT","ALBUM_TTPD",1,17,"Original","[{""artistId"": ""ARTIST_TS"", ""artistName"": ""Taylor Swift"", ""role"": ""Primary""}]",
TBC8315,"The Black Dog","SONG_THE_BLACK_DOG","ALBUM_TTPD",1,18,"Original","[{""artistId"": ""ARTIST_TS"", ""artistName"": ""Taylor Swift"", ""role"": ""Primary""}]","Bonus Track"
TBC2094,"imgonnagetyouback","SONG_IMGONNAGETYOUBACK","ALBUM_TTPD",1,19,"Original","[{""artistId"": ""ARTIST_TS"", ""artistName"": ""Taylor Swift"", ""role"": ""Primary""}]","Bonus Track"
TBC5771,"The Albatross","SONG_THE_ALBATROSS","ALBUM_TTPD",1,20,"Original","[{""artistId"": ""ARTIST_TS"", ""artistName"": ""Taylor Swift"", ""role"": ""Primary""}]","Bonus Track"
TBC1648,"Chloe or Sam or Sophia or Marcus","SONG_CHLOE_SAM_SOPHIA_MARCUS","ALBUM_TTPD",1,21,"Original","[{""artistId"": ""ARTIST_TS"", ""artistName"": ""Taylor Swift"", ""role"": ""Primary""}]","Bonus Track"
TBC9230,"How Did It End?","SONG_HOW_DID_IT_END","ALBUM_TTPD",1,22,"Original","[{""artistId"": ""ARTIST_TS"", ""artistName"": ""Taylor Swift"", ""role"": ""Primary""}]","Bonus Track"
TBC4517,"So High School","SONG_SO_HIGH_SCHOOL","ALBUM_TTPD",1,23,"Original","[{""artistId"": ""ARTIST_TS"", ""artistName"": ""Taylor Swift"", ""role"": ""Primary""}]","Bonus Track"
TBC7082,"I Hate It Here","SONG_I_HATE_IT_HERE","ALBUM_TTPD",1,24,"Original","[{""artistId"": ""ARTIST_TS"", ""artistName"": ""Taylor Swift"", ""role"": ""Primary""}]","Bonus Track"
TBC3869,"thanK you aIMee","SONG_THANK_YOU_AIMEE","ALBUM_TTPD",1,25,"Original","[{""artistId"": ""ARTIST_TS"", ""artistName"": ""Taylor Swift"", ""role"": ""Primary""}]","Bonus Track"
TBC6521,"I Look in People’s Windows","SONG_I_LOOK_IN_PEOPLES_WINDOWS","ALBUM_TTPD",1,26,"Original","[{""artistId"": ""ARTIST_TS"", ""artistName"": ""Taylor Swift"", ""role"": ""Primary""}]","Bonus Track"
TBC1193,"The Prophecy","SONG_THE_PROPHECY","ALBUM_TTPD",1,27,"Original","[{""artistId"": ""ARTIST_TS"", ""artistName"": ""Taylor Swift"", ""role"": ""Primary""}]","Bonus Track"
TBC8740,"Cassandra","SONG_CASSANDRA","ALBUM_TTPD",1,28,"Original","[{""artistId"": ""ARTIST_TS"", ""artistName"": ""Taylor Swift"", ""role"": ""Primary""}]","Bonus Track"
TBC4026,"Peter","SONG_PETER","ALBUM_TTPD",1,29,"Original","[{""artistId"": ""ARTIST_TS"", ""artistName"": ""Taylor Swift"", ""role"": ""Primary""}]","Bonus Track"
TBC7358,"The Bolter","SONG_THE_BOLTER","ALBUM_TTPD",1,30,"Original","[{""artistId"": ""ARTIST_TS"", ""artistName"": ""Taylor Swift"", ""role"": ""Primary""}]","Bonus Track"
TBC5914,"Robin","SONG_ROBIN","ALBUM_TTPD",1,31,"Original","[{""artistId"": ""ARTIST_TS"", ""artistName"": ""Taylor Swift"", ""role"": ""Primary""}]","Bonus Track"
